,Coach,From,To,Last School,Yrs,G,W,L,W-L%,CREG,CTRN,NCAA,FF,NC
3066,Raymond Stanley,1950,1956,Pennsylvania,4,99,63,36,.636,1,0,0,0,0
3067,Rick Stansbury,1999,2012,Mississippi State,14,459,293,166,.638,5,2,6,0,0
3068,Frank Stanton,1905,1906,Denison,2,26,19,7,.731,0,0,,,
3069,Dolly Stark,1929,1936,Dartmouth,8,161,101,60,.627,0,0,,,
3070,Donald Starn,1934,1943,Kent State,10,207,111,96,.536,0,0,0,0,0
3071,Stu Starner,1984,1995,Texas-San Antonio,12,347,194,153,.559,3,1,1,0,0
3072,Jack Starrett,1942,1942,Wichita State,1,20,4,16,.200,0,0,0,0,0
3073,Bob Stauffer,1926,1926,Manchester,1,16,15,1,.938,0,0,,,
3074,Gordon Stauffer,1972,1990,Nicholls State,13,345,153,192,.443,0,0,0,0,0
3075,Jerry Steele,2000,2003,High Point,4,113,37,76,.327,0,0,0,0,0
3076,Larry Steele,1988,1994,Portland,7,197,56,141,.284,0,0,0,0,0
3077,Mike Steele,1988,1991,East Carolina,4,116,48,68,.414,0,0,0,0,0
3078,Herman Stegeman,1920,1931,Georgia,12,249,170,79,.683,1,0,,,
3079,Frank Steger,1913,1915,Texas A&M,3,28,22,6,.786,0,0,,,
3080,Dan Steinberg,1931,1931,Seton Hall,1,23,12,11,.522,0,0,,,
3081,Steve Steinwedel,1986,1995,Delaware,10,284,163,121,.574,1,2,2,0,0
3082,Warren Steller,1925,1925,Bowling Green State,1,14,9,5,.643,0,0,,,
3083,Jack Sterett,1939,1941,Tulsa,3,60,21,39,.350,0,0,0,0,0
3084,Paul Sternberg,1911,1912,Cornell,2,26,13,13,.500,0,0,,,
3085,Dwight Steussey,1940,1943,William & Mary,4,93,53,40,.570,0,0,0,0,0
3086,Bob Stevens,1960,1967,Oklahoma,8,204,80,124,.392,0,0,0,0,0
3087,Brad Stevens,2008,2013,Butler,6,215,166,49,.772,4,3,5,2,0
3088,Len Stevens,1984,1993,Nevada,10,285,139,146,.488,0,0,0,0,0
3089,Robert Stevenson,1924,1924,DePaul,1,14,8,6,.571,0,0,,,
3090,Bruce Stewart,1985,1991,Middle Tennessee,7,216,141,75,.653,3,2,3,0,0
3091,Carl Stewart,1978,1982,Southern,5,138,77,61,.558,2,1,1,0,0
3092,Dick Stewart,1977,1978,Fordham,2,52,13,39,.250,0,0,0,0,0
3093,Doc Stewart,1908,1928,Texas-El Paso,15,291,193,98,.663,2,0,,,
3094,E.R. Stewart,1922,1923,Clemson,2,38,19,19,.500,0,0,,,
3095,Flucie Stewart,1934,1950,Maryland,5,110,41,69,.373,0,0,0,0,0
3096,Gary Stewart,2008,2011,UC-Davis,4,125,46,79,.368,0,0,0,0,0
3097,James Stewart,1908,1912,Allegheny,5,59,51,8,.864,0,0,,,
3098,James Stewart,1943,1944,Southern Methodist,2,35,18,17,.514,0,0,0,0,0
3099,John Stewart,1903,1906,Illinois State,4,30,20,10,.667,0,0,,,
3100,John Stewart,1923,1932,Montana,10,184,77,107,.418,0,0,,,
3101,Norm Stewart,1968,1999,Missouri,32,967,634,333,.656,8,6,16,0,0
3102,Walter Stewart,1911,1912,Iowa,2,27,15,12,.556,0,0,,,
3103,Joey Stiebing,1998,2001,New Orleans,4,115,57,58,.496,0,0,0,0,0
3104,Jumbo Stiehm,1912,1920,Indiana,5,91,69,22,.758,3,0,,,
3105,Joseph Stilwell,1903,1914,Army,6,54,40,14,.741,0,0,,,
3106,Bill Stockton,1956,1958,New Mexico,3,72,14,58,.194,0,0,0,0,0
3107,Andy Stoglin,1983,2003,Jackson State,16,471,229,242,.486,3,3,2,0,0
3108,Ricky Stokes,2000,2007,East Carolina,6,173,59,114,.341,0,0,0,0,0
3109,William Stokes,1963,1965,Middle Tennessee,3,69,26,43,.377,0,0,0,0,0
3110,Alex Stone,1911,1911,Tennessee,1,16,7,9,.438,0,0,,,
3111,F.W. Stone,1909,1912,Miami (OH),4,37,17,20,.459,0,0,,,
3112,Jerry Stone,1988,1988,Texas-Arlington,1,29,7,22,.241,0,0,0,0,0
3113,Stein Stone,1907,1907,Vanderbilt,1,7,6,1,.857,0,0,,,
3114,Burnet Stoney,1928,1928,South Carolina,1,20,8,12,.400,0,0,,,
3115,Robert Stowe,1915,1916,Yale,2,37,26,11,.703,1,0,,,
3116,Joe Stowell,1966,1978,Bradley,13,344,197,147,.573,0,0,0,0,0
3117,Dave Strack,1960,1968,Michigan,9,228,124,104,.544,3,0,3,2,0
3118,Bill Strannigan,1951,1973,Wyoming,23,597,308,289,.516,3,0,2,0,0
3119,Lafayette Stribling,1984,2005,Mississippi Valley State,22,623,305,318,.490,4,3,3,0,0
3120,Pete Strickland,1999,2005,Coastal Carolina,7,197,70,127,.355,0,0,0,0,0
3121,Bill Strickling,1924,1927,Marshall,2,31,15,16,.484,0,0,,,
3122,George Strohm,1905,1905,Baker University,1,15,5,10,.333,0,0,,,
3123,John Stroia,1990,1993,Youngstown State,4,110,29,81,.264,0,0,0,0,0
3124,Guy Strong,1968,1977,Oklahoma State,10,248,117,131,.472,1,0,1,0,0
3125,Doc Stroud,1914,1920,Louisiana State,6,103,82,21,.796,0,0,,,
3126,Arthur Strum,1924,1924,Indiana State,1,23,16,7,.696,0,0,,,
3127,John Stuart,1928,1931,Marshall,4,74,46,27,.630,0,0,,,
3128,Tony Stubblefield,2005,2005,New Mexico State,1,14,2,12,.143,0,0,0,0,0
3129,Kenneth Suesens,1952,1958,Valparaiso,7,167,74,93,.443,0,0,0,0,0
3130,Louis Sugarman,1921,1921,Princeton,1,15,11,4,.733,0,0,,,
