,Coach,From,To,Last School,Yrs,G,W,L,W-L%,CREG,CTRN,NCAA,FF,NC
415,Jim Buford,1937,1941,Vanderbilt,5,97,47,50,.485,0,0,0,0,0
416,Herb Bunker,1925,1925,Auburn,1,14,3,11,.214,0,0,,,
417,John Bunn,1931,1938,Stanford,8,190,108,82,.568,3,0,,,
418,Henry Bunoski,1940,1941,Siena,2,37,21,16,.568,0,0,0,0,0
419,Mitch Buonaguro,1986,2013,Siena,9,269,107,162,.398,1,2,2,0,0
420,Adrian Buoncristiani,1973,1978,Gonzaga,6,160,78,82,.488,0,0,0,0,0
421,J.S. Burbage,1923,1924,Duke,2,47,34,13,.723,0,0,,,
422,Charles Burden,1903,1904,Oregon,2,6,0,6,.000,0,0,,,
423,Floyd Burdette,1947,1952,Alabama,6,140,81,59,.579,0,0,0,0,0
424,Bill Burke,1982,1982,Loyola (MD),1,27,11,16,.407,0,0,0,0,0
425,Eddie Burke,1978,1991,Drexel,14,394,205,189,.520,1,1,1,0,0
426,John Burke,1960,1966,Boston University,7,152,68,84,.447,0,0,0,0,0
427,Robert Burke,2011,2012,Mount St. Mary's,2,61,19,42,.311,0,0,0,0,0
428,A.L. Burkeholder,1927,1927,New Mexico State,1,19,6,13,.316,0,0,,,
429,Thomas Burkhalter,1910,1910,Springfield,1,10,3,7,.300,0,0,,,
430,Luther Burleson,1907,1908,Baylor,2,19,10,9,.526,0,0,,,
431,Ken Burmeister,1987,2016,Incarnate Word,11,312,168,144,.538,0,1,1,0,0
432,Robert Burnett,1942,1954,Stanford,4,90,44,46,.489,0,0,0,0,0
433,Paul Burnham,1943,1943,Alabama,1,20,10,10,.500,0,0,0,0,0
434,Ed Burns,1946,1946,Xavier,1,19,3,16,.158,0,0,0,0,0
435,Mike Burns,2005,2007,Eastern Washington,3,87,38,49,.437,0,0,0,0,0
436,M.P. Burroughs,1905,1905,Washington (MO),1,1,1,0,1.000,0,0,,,
437,Russell Burt,1933,1933,Canisius,1,15,6,9,.400,0,0,,,
438,Bob Burton,2004,2012,Cal State Fullerton,9,277,155,122,.560,1,1,1,0,0
439,E.Y. Burton,1911,1911,Millsaps,1,6,0,6,.000,0,0,,,
440,Sam Burton,1922,1933,West Texas A&M,12,252,210,42,.833,0,0,,,
441,Jerry Bush,1948,1963,Nebraska,16,398,208,190,.523,1,0,1,0,0
442,Dave Buss,1982,1984,Long Beach State,2,55,23,32,.418,0,0,0,0,0
443,Edbert Buss,1917,1921,DePauw,5,78,54,24,.692,0,0,,,
444,William Bussenius,1946,1946,San Francisco,1,21,9,12,.429,0,0,0,0,0
445,Eli Butler,1922,1922,Fordham,1,20,13,7,.650,0,0,,,
446,Ed Byhre,1977,1981,Eastern Kentucky,5,132,69,63,.523,2,1,1,0,0
447,Mark Byington,2014,2016,Georgia Southern,3,96,51,45,.531,0,0,0,0,0
448,Check Byrd,1923,1923,Florida,1,7,2,5,.286,0,0,,,
449,Rick Byrd,2000,2016,Belmont,17,539,341,198,.633,9,7,7,0,0
450,Ricky Byrdsong,1989,1997,Northwestern,9,252,87,165,.345,0,0,0,0,0
451,C.S. Byrne,1902,1903,Wheaton (IL),2,24,19,5,.792,0,0,,,
452,Jeff Bzdelik,1987,2014,Wake Forest,11,343,162,181,.472,0,0,1,0,0
453,William Caffrey,1909,1909,Seton Hall,1,14,10,4,.714,0,0,,,
454,Frederick Cahoon,1915,1915,Texas Christian,1,23,11,12,.478,0,0,,,
455,Chico Caldwell,1984,1987,South Carolina State,4,113,48,65,.425,0,0,0,0,0
456,Harry Caldwell,1919,1919,North Dakota,1,8,6,2,.750,0,0,,,
457,Jim Calhoun,1973,2012,Connecticut,40,1259,877,382,.697,16,12,23,4,3
458,Mike Calhoun,1993,1997,Eastern Kentucky,5,135,58,77,.430,0,0,0,0,0
459,Bob Calihan,1949,1969,Detroit Mercy,21,547,306,241,.559,0,0,1,0,0
460,John Calipari,1989,2016,Kentucky,24,849,662,187,.780,16,13,17,6,1
461,Leo Calland,1928,1929,Southern California,2,48,38,10,.792,1,0,,,
462,Joe Callero,2010,2016,Cal Poly,7,219,100,119,.457,0,1,1,0,0
463,Dave Calloway,1998,2011,Monmouth,14,405,178,227,.440,2,3,3,0,0
464,Ernest Calverley,1958,1968,Rhode Island,11,279,154,125,.552,4,0,2,0,0
465,Paul Calvert,1938,1941,Lehigh,4,62,27,35,.435,0,0,0,0,0
466,Eddie Cameron,1925,1942,Duke,15,338,234,104,.692,2,3,0,0,0
467,Wally Cameron,1933,1942,San Francisco,10,183,88,95,.481,0,0,0,0,0
468,Lou Campanelli,1977,1993,University of California,17,483,288,195,.596,0,1,5,0,0
469,Bill Campbell,1924,1924,Duquesne,1,14,8,6,.571,0,0,,,
470,Bret Campbell,2000,2009,Tennessee-Martin,10,293,125,168,.427,1,0,0,0,0
471,Dick Campbell,1968,1973,Xavier,6,151,60,91,.397,0,0,0,0,0
472,Edward Campbell,1902,1905,Grove City,4,63,50,13,.794,0,0,,,
473,Peter Campbell,1904,1907,Utah State,3,21,6,15,.286,0,0,,,
474,Royal Campbell,1910,1919,Detroit Mercy,7,71,49,22,.690,0,0,,,
475,Sam Campbell,1936,1937,Colorado State,2,29,14,15,.483,0,0,,,
476,Howard Cann,1924,1958,New York University,35,641,409,232,.638,5,0,3,1,0
477,Joey Cantafio,1987,1997,Furman,11,307,109,198,.355,0,0,0,0,0
478,Tommy Canterbury,1978,1989,Centenary (LA),12,330,150,180,.455,0,1,0,0,0
479,Bob Cantu,2013,2013,Southern California,1,15,7,8,.467,0,0,0,0,0
480,Kevin Cantwell,1982,1986,Appalachian State,5,139,61,78,.439,0,0,0,0,0
481,Jason Capel,2011,2014,Appalachian State,4,123,53,70,.431,0,0,0,0,0
482,Jeff Capel,2003,2011,Oklahoma,9,285,175,110,.614,1,1,3,0,0
483,Jeff Capel,1994,2001,Old Dominion,8,250,138,112,.552,2,3,3,0,0
484,Cappy Cappon,1932,1961,Princeton,27,582,340,242,.584,5,0,4,0,0
485,Elmer Capshaw,1922,1922,Colorado School of Mines,1,10,8,2,.800,0,0,,,
486,Tim Capstraw,1990,1999,Wagner,10,281,117,164,.416,0,0,0,0,0
487,Team Captains,1913,1919,Washington College,5,30,11,19,.367,0,0,,,
488,Ray Carazo,1976,1982,Yale,7,182,68,114,.374,0,0,0,0,0
489,Glenn Carberry,1924,1926,St. Bonaventure,3,56,36,20,.643,0,0,,,
490,Cap Card,1906,1912,Duke,7,47,30,17,.638,0,0,,,
491,Jim Carey,1977,1980,Nevada,4,111,65,46,.586,0,0,0,0,0
492,Frank Carideo,1936,1939,Mississippi State,4,82,43,39,.524,0,0,0,0,0
493,P.J. Carlesimo,1977,1994,Seton Hall,18,536,277,259,.517,2,2,6,1,0
494,George Carlisle,1964,1966,Rice,3,71,18,53,.254,0,0,0,0,0
495,Burr Carlson,1968,1969,Connecticut,2,48,16,32,.333,0,0,0,0,0
496,C Carlson,1907,1913,Wesleyan (CT),7,109,75,34,.688,0,0,,,
497,Doc Carlson,1923,1953,Pittsburgh,31,615,366,249,.595,5,0,1,1,0
498,Win Carlson,1926,1932,Boston University,7,92,39,53,.424,0,0,,,
499,Irving Carlyle,1919,1919,Wake Forest,1,15,6,9,.400,0,0,,,
500,Bill Carmody,1997,2016,Holy Cross,18,554,299,255,.540,2,1,3,0,0
501,Thomas Carmody,1969,1973,Rhode Island,5,129,58,71,.450,1,0,0,0,0
502,Al Carmount,1921,1923,St. Bonaventure,3,60,27,33,.450,0,0,,,
503,Lou Carnesecca,1966,1992,St. John's (NY),24,726,526,200,.725,5,2,18,1,0
504,Ben Carnevale,1945,1966,Navy,22,480,309,171,.644,1,1,6,1,0
505,Clyde Carpenter,1943,1943,Montana,1,9,6,3,.667,0,0,0,0,0
506,John Carpenter,1968,1989,Rider,22,597,281,316,.471,5,1,1,0,0
507,Pete Carril,1967,1996,Princeton,30,798,525,273,.658,11,0,11,0,0
508,Ira Carrithers,1915,1915,Lake Forest,1,13,12,1,.923,0,0,,,
509,Arthur Carroll,1923,1931,Long Island University,4,65,41,24,.631,0,0,,,
510,Jack Carroll,1939,1939,Siena,1,10,8,2,.800,0,0,0,0,0
511,John Carroll,1990,1995,Duquesne,6,171,73,98,.427,0,0,0,0,0
512,Terry Carroll,2002,2007,Denver,6,178,79,99,.444,1,0,0,0,0
513,David Carter,2010,2015,Nevada,6,195,98,97,.503,1,0,0,0,0
514,F.G. Carter,1917,1917,Colorado School of Mines,1,8,0,8,.000,0,0,,,
515,James Carter,1940,1947,Dayton,6,116,41,75,.353,0,0,0,0,0
516,Phil Carter,1981,1989,Central Florida,7,190,68,122,.358,0,0,0,0,0
517,Tim Carter,1996,2013,South Carolina State,17,492,227,265,.461,1,2,2,0,0
518,Nat Cartmell,1911,1914,North Carolina,4,49,25,24,.510,0,0,,,
519,Everett Case,1947,1965,North Carolina State,19,511,377,134,.738,9,11,6,1,0
520,Chris Casey,2014,2016,Niagara,3,95,22,73,.232,0,0,0,0,0
521,Don Casey,1974,1982,Temple,9,245,151,94,.616,3,1,1,0,0
522,Walter Casey,1944,1944,Louisville,1,10,5,5,.500,0,0,0,0,0
523,William Casey,1921,1924,Holy Cross,4,53,28,25,.528,0,0,,,
524,Rube Cashman,1927,1929,Villanova,3,47,21,26,.447,0,0,,,
525,Mo Cassara,2011,2013,Hofstra,3,97,38,59,.392,0,0,0,0,0
526,George Cassidy,1911,1911,Colorado State,1,9,5,4,.556,0,0,,,
527,Kenneth Cassidy,1920,1920,Wichita State,1,16,8,8,.500,0,0,,,
528,Pete Cassidy,1991,1996,Cal State Northridge,6,164,52,112,.317,0,0,0,0,0
529,John Castellani,1957,1958,Seattle,2,54,45,9,.833,0,0,1,1,0
530,Frank Castleman,1907,1912,Colorado,6,54,32,22,.593,0,0,,,
531,Nelson Catalina,1985,1995,Arkansas State,11,327,188,139,.575,1,0,0,0,0
532,Gale Catlett,1973,2002,West Virginia,30,890,565,325,.635,4,4,11,0,0
533,Vincent Cavanaugh,1935,1938,Fordham,4,67,40,27,.597,0,0,,,
534,Pete Cawthon,1921,1921,Rice,1,15,5,10,.333,0,0,,,
535,Francis Cayou,1909,1913,Washington (MO),4,48,25,23,.521,0,0,,,
536,Vincent Cazzetta,1959,1963,Seattle,5,133,94,39,.707,0,0,3,0,0
537,William Chadwick,1911,1911,Mississippi State,1,6,2,4,.333,0,0,,,
538,John Chalmers,1905,1905,Iowa,1,14,6,8,.429,0,0,,,
539,Boyd Chambers,1919,1928,Cincinnati,10,187,106,81,.567,0,0,,,
540,J.S. Chambers,1908,1909,Kentucky,2,20,10,10,.500,0,0,,,
541,Patrick Chambers,2010,2016,Penn State,7,233,114,119,.489,0,1,1,0,0
542,William Chambers,1958,1966,William & Mary,9,223,113,110,.507,0,0,0,0,0
543,Bill Chandler,1922,1951,Marquette,28,516,233,283,.452,0,0,0,0,0
544,Paul Chandler,1920,1923,Kent State,4,35,12,23,.343,0,0,,,
545,John Chaney,1983,2006,Temple,24,769,516,253,.671,8,6,17,0,0
546,Gib Chapman,1993,1996,New Hampshire,4,110,46,64,.418,0,0,0,0,0
547,Larry Chapman,1975,1977,Georgia Southern,3,80,35,45,.438,0,0,0,0,0
548,Tom Chapman,1990,1992,St. Bonaventure,3,84,22,62,.262,0,0,0,0,0
549,Skip Chappelle,1972,1988,Maine,17,443,217,226,.490,0,0,0,0,0
550,Rob Chavez,1993,2001,Portland,9,251,122,129,.486,0,1,1,0,0
551,Newton Chelette,1985,1988,Southeastern Louisiana,4,98,41,57,.418,1,0,0,0,0
552,Ben Cherrington,1906,1917,University of California,2,30,22,8,.733,0,0,,,
553,Scott Cherry,2010,2016,High Point,7,219,117,102,.534,4,0,0,0,0
554,Spurgeon Cherry,1943,1946,Florida,3,55,22,33,.400,0,0,0,0,0
555,J. Chestnut,1908,1908,St. John's (NY),1,12,4,8,.333,0,0,,,
556,Anthony Chez,1903,1907,West Virginia,5,53,23,30,.434,0,0,,,
557,Gordon Chiesa,1982,1988,Providence,5,139,54,85,.388,0,0,0,0,0
558,C.C. Childs,1914,1914,Wooster,1,13,0,13,.000,0,0,,,
559,Wilfred Childs,1904,1906,Chicago,3,29,21,8,.724,0,0,,,
560,Eddie Chinske,1943,1943,Montana,1,15,9,6,.600,0,0,0,0,0
561,Roy Chipman,1978,1986,Pittsburgh,9,266,162,104,.609,2,2,3,0,0
562,J.O. Christian,1936,1936,Connecticut,1,13,3,10,.231,0,0,,,
563,Jamion Christian,2013,2016,Mount St. Mary's,4,128,63,65,.492,0,1,1,0,0
564,Jim Christian,2003,2016,Boston College,14,460,262,198,.570,5,2,2,0,0
565,Jake Christiansen,1930,1941,Valparaiso,12,210,102,108,.486,0,0,0,0,0
566,Walter Christie,1918,1918,University of California,1,10,8,2,.800,0,0,,,
567,Harold Church,1944,1944,Louisville,1,10,5,5,.500,0,0,0,0,0
568,Thomas Churchill,1931,1933,New Mexico,3,51,32,19,.627,0,0,,,
569,Mike Cimino,1963,1970,Saint Mary's (CA),8,201,54,147,.269,0,0,0,0,0
570,Mike Cingiser,1982,1991,Brown,10,263,93,170,.354,1,0,1,0,0
571,John Cinicola,1975,1978,Duquesne,4,108,52,56,.481,0,1,1,0,0
572,Joe Cipriano,1961,1980,Nebraska,20,528,296,232,.561,0,0,0,0,0
573,Fred Clapp,1910,1914,Southwestern (KS),5,63,39,24,.619,0,0,,,
574,R.G. Clapp,1904,1909,Nebraska,6,103,59,44,.573,0,0,,,
575,Dutch Clark,1931,1935,Colorado,5,94,39,55,.415,0,0,,,
576,Jeep Clark,1946,1976,Southern Mississippi,5,120,48,72,.400,0,0,0,0,0
577,John Clark,1967,1969,Saint Francis (PA),3,75,55,20,.733,0,0,0,0,0
578,John Clark,1901,1902,Harvard,2,33,20,13,.606,0,0,,,
579,Kevin Clark,2004,2004,St. John's (NY),1,21,4,17,.190,0,0,0,0,0
580,Perry Clark,1990,2011,Texas A&M-Corpus Christi,19,574,304,270,.530,4,0,4,0,0
581,Stewart Clark,1925,1928,Wyoming,4,67,43,24,.642,1,0,,,
582,Stuart Clark,1928,1932,Denver,5,83,33,50,.398,0,0,,,
583,Noble Clay,1914,1915,Duke,2,41,22,19,.537,0,0,,,
584,Mickey Clayton,1996,2001,Florida A&M,6,153,48,105,.314,0,1,1,0,0
585,Jim Cleamons,1988,1989,Youngstown State,2,56,12,44,.214,0,0,0,0,0
586,Bob Cleeland,1983,1983,Missouri State,1,28,13,15,.464,0,0,0,0,0
587,Woody Clements,1945,1955,New Mexico,7,154,82,72,.532,1,0,0,0,0
588,Ben Clemmons,1934,1936,Florida,3,48,24,24,.500,0,0,,,
589,Ben Clemons,1942,1944,Citadel,2,21,4,17,.190,0,0,0,0,0
590,Steve Cleveland,1998,2011,Fresno State,14,436,230,206,.528,2,1,3,0,0
591,Zora Clevenger,1905,1920,Kansas State,15,223,151,72,.677,2,0,,,
592,Tim Cluess,2011,2016,Iona,6,205,140,65,.683,3,2,3,0,0
593,Student Coaches,1896,1908,Bucknell,13,128,100,28,.781,0,0,,,
594,George Cobb,1910,1916,Rhode Island,5,39,22,17,.564,0,0,,,
595,Ric Cobb,1996,1999,Milwaukee,4,109,28,81,.257,0,0,0,0,0
596,Lt. Coburn,1907,1908,Wyoming,2,12,5,7,.417,0,0,,,
597,Chili Cochrane,1943,1943,Kansas State,1,20,6,14,.300,0,0,0,0,0
598,George Cockill,1915,1917,Bucknell,3,45,26,19,.578,0,0,,,
599,Josh Cody,1924,1952,Temple,24,545,273,272,.501,0,1,1,0,0
600,Neal Cody,1987,1988,Augusta State,2,53,16,37,.302,0,0,0,0,0
601,Bill Coen,2007,2016,Northeastern,10,323,163,160,.505,2,1,1,0,0
602,Jon Coffman,2015,2016,IPFW,2,65,40,25,.615,1,0,0,0,0
603,Ted Coffman,1928,1929,New Mexico State,2,30,9,20,.310,0,0,,,
604,Bill Cofield,1977,1982,Wisconsin,6,164,61,103,.372,0,0,0,0,0
605,Neil Cohalan,1930,1942,Manhattan,13,248,165,83,.665,0,0,0,0,0
606,Albert Cohan,1915,1915,Navy,1,11,9,2,.818,0,0,,,
607,Tim Cohane,1980,2000,Buffalo,11,277,110,167,.397,0,0,0,0,0
608,Mike Cohen,1990,1992,Wichita State,3,88,32,56,.364,0,0,0,0,0
609,Lee Coker,1946,1946,Muhlenburg,1,28,23,5,.821,0,0,0,0,0
610,H.P. Cole,1919,1919,Duke,1,11,6,5,.545,0,0,,,
611,Mel Coleman,1999,1999,Norfolk State,1,27,15,12,.556,0,0,0,0,0
612,Ron Coleman,1978,1978,Saint Louis,1,27,7,20,.259,0,0,0,0,0
613,Charlie Coles,1986,2012,Miami (OH),22,668,357,311,.534,4,3,4,0,0
614,Mel Collard,1936,1945,Boston University,9,127,64,63,.504,0,0,0,0,0
615,Barry Collier,1990,2006,Nebraska,17,508,285,223,.561,2,3,3,0,0
616,Celester Collier,1985,1986,Texas State,2,54,12,42,.222,0,0,0,0,0
617,George Colliflower,1916,1917,George Washington,2,27,9,18,.333,0,0,,,
618,James Colliflower,1912,1922,Navy,7,104,80,24,.769,0,0,,,
619,Bobby Collins,2003,2016,Maryland-Eastern Shore,6,187,93,94,.497,0,1,1,0,0
620,Chris Collins,2014,2016,Northwestern,3,97,49,48,.505,0,0,0,0,0
621,Jimmy Collins,1997,2010,Illinois-Chicago,14,426,218,208,.512,1,2,3,0,0
622,John Colrick,1931,1936,Seton Hall,3,51,13,38,.255,0,0,,,
623,Gary Colson,1969,1995,Fresno State,24,691,375,316,.543,1,0,2,0,0
624,W.A. Colton,1903,1903,Brigham Young,1,9,4,5,.444,0,0,,,
625,Tony Coma,1973,1973,Cornell,1,26,4,22,.154,0,0,0,0,0
626,Harry Combes,1948,1967,Illinois,20,466,316,150,.678,4,0,4,3,0
627,Walter Comerford,1929,1934,Loyola (MD),5,74,43,31,.581,0,0,,,
628,Compton,1931,1931,Wittenberg,1,20,18,2,.900,0,0,,,
629,Bob Conibear,1969,1971,Bowling Green State,3,73,31,42,.425,0,0,0,0,0
630,Louis Conlan,1941,1943,Saint Mary's (CA),3,65,38,27,.585,0,0,0,0,0
631,Fred Conley,1977,1977,Western Carolina,1,24,8,16,.333,0,0,0,0,0
632,Thomas Conley,1932,1933,La Salle,2,39,28,11,.718,0,0,,,
633,Edward Conlin,1969,1970,Fordham,2,51,27,24,.529,0,0,0,0,0
634,David Connelly,1927,1934,Toledo,8,126,48,78,.381,0,0,,,
635,John Connelly,1943,1943,Loyola (IL),1,22,12,10,.545,0,0,0,0,0
636,Chip Conner,1976,1980,South Florida,5,121,59,62,.488,0,0,0,0,0
637,Eddy Conners,1909,1909,Indiana State,1,9,2,7,.222,0,0,,,
638,Mike Conners,1993,1993,Army,1,8,1,7,.125,0,0,0,0,0
639,Bus Connor,1974,1980,Boise State,7,186,87,99,.468,1,1,1,0,0
640,Dutch Connor,1936,1936,Brooklyn,1,27,18,9,.667,0,0,,,
641,Dick Conover,1972,1973,Saint Francis (PA),2,51,17,34,.333,0,0,0,0,0
642,Larry Conover,1921,1921,Clemson,1,14,10,4,.714,0,0,,,
643,Arthur Conrad,1917,1917,Army,1,11,3,8,.273,0,0,,,
644,R.M. Conrad,1913,1917,Augustana (IL),5,65,47,18,.723,0,0,,,
645,Tom Conrad,1997,2000,Charleston Southern,4,114,42,72,.368,0,1,1,0,0
646,Ed Conroy,2007,2016,Tulane,10,320,141,179,.441,0,0,0,0,0
647,Louis Conroy,1930,1930,Detroit Mercy,1,19,10,9,.526,0,0,,,
648,David Coogan,1910,1910,Cornell,1,13,7,6,.538,0,0,,,
649,Eddie Cook,1908,1912,Franklin,3,40,25,15,.625,0,0,,,
650,H.S.W. Cook,1910,1910,Trinity (CT),1,14,4,10,.286,0,0,,,
651,Stan Cook,1923,1923,Loyola (MD),1,11,6,5,.545,0,0,,,
652,W.T. Cook,1913,1913,Davidson,1,1,0,1,.000,0,0,,,
653,Louis Cooke,1898,1924,Minnesota,27,380,248,131,.654,5,0,,,
654,Ed Cooley,2007,2016,Providence,10,331,195,136,.589,1,1,3,0,0
655,Rody Cooney,1933,1941,St. Francis (NY),9,193,116,77,.601,0,0,0,0,0
656,Frederick Cooper,1905,1906,Princeton,2,28,13,15,.464,0,0,,,
657,George Cooper,1918,1931,Northern Colorado,14,194,132,62,.680,1,0,,,
658,John Cooper,2010,2016,Miami (OH),7,222,91,131,.410,0,0,0,0,0
659,Norm Cooper,1942,1947,Vanderbilt,3,49,24,25,.490,0,0,0,0,0
660,Cooper,1902,1902,Mount Union,1,14,11,3,.786,0,0,,,
661,Robert Cope,1969,1970,Montana,2,52,17,35,.327,0,0,0,0,0
662,Don Corbett,1980,1993,North Carolina A&T,14,399,254,145,.637,7,7,7,0,0
663,John Corbett,1916,1924,Wyoming,9,78,37,41,.474,0,0,,,
664,Paul Cormier,1985,2016,Fairfield,20,550,228,322,.415,1,1,1,0,0
665,Sil Cornachione,1955,1955,John Carroll,1,23,14,9,.609,0,0,0,0,0
666,George Corneal,1915,1917,Wisconsin-Stevens Point,3,34,22,12,.647,0,0,,,
667,Jim Corrigan,2013,2013,Old Dominion,1,8,3,5,.375,0,0,0,0,0
668,Charles Corsaut,1924,1933,Kansas State,10,170,89,81,.524,0,0,,,
669,Ion Cortright,1917,1926,North Dakota State,2,36,25,11,.694,0,0,,,
670,Larry Costello,1982,1987,Utica,6,158,64,94,.405,0,0,0,0,0
671,Ron Cottrell,2011,2016,Houston Baptist,6,185,64,121,.346,0,0,0,0,0
672,Steve Cottrell,1978,1987,Western Carolina,10,278,145,133,.522,0,0,0,0,0
673,Roger Couch,1978,1981,Georgia State,4,107,22,85,.206,0,0,0,0,0
674,Bill Courtney,2011,2016,Cornell,6,173,60,113,.347,0,0,0,0,0
675,Ronnie Courtney,2002,2007,Texas Southern,6,175,76,99,.434,1,1,1,0,0
676,Raymond Courtright,1920,1927,Colorado School of Mines,5,56,27,29,.482,0,0,,,
677,Bob Cousy,1964,1969,Boston College,6,152,114,38,.750,0,0,2,0,0
678,Willis Coval,1903,1904,Indiana,2,21,13,8,.619,0,0,,,
679,Paul Covington,1978,1986,Jackson State,9,252,124,128,.492,2,0,0,0,0
680,Willie Coward,2000,2000,Howard,1,19,1,18,.053,0,0,0,0,0
681,Brady Cowell,1926,1933,Florida,8,148,62,86,.419,0,0,,,
682,Roland Cowell,1927,1927,Northern Illinois,1,22,20,2,.909,0,0,,,
683,William Cowell,1927,1927,New Hampshire,1,15,14,1,.933,0,0,,,
684,Ozzie Cowles,1925,1959,Minnesota,28,569,389,180,.684,8,0,4,1,0
685,Frosty Cox,1936,1962,Montana,20,401,227,174,.566,5,0,3,1,0
686,Fred Cozens,1920,1921,UCLA,2,24,20,4,.833,0,0,,,
687,Roger Craft,1963,1969,Montana State,7,175,92,83,.526,2,0,0,0,0
688,Tim Craft,2014,2016,Gardner-Webb,3,101,55,46,.545,0,0,0,0,0
689,Gravelle Craig,2012,2016,Bethune-Cookman,5,165,64,101,.388,0,0,0,0,0
690,Herbert Cramer,1922,1922,Marshall,1,10,5,4,.556,0,0,,,
691,Henry Crane,1916,1916,Boston University,1,4,2,2,.500,0,0,,,
